pm2_5,pm10,no2,so2,co,o3,temperature_c,air_quality
57,240,70,45,7.55,78,20.2,Unhealthy for Sensitive
295,421,127,90,9.43,146,36.9,Very Unhealthy
142,339,104,60,7.15,127,40.7,Unhealthy
300,450,114,86,8.44,149,34.1,Very Unhealthy
93,243,87,78,6.88,121,33.9,Unhealthy
82,274,116,76,6.8,125,31.8,Unhealthy
300,413,150,97,8.99,144,32.4,Very Unhealthy
43,194,97,26,3.74,93,32.9,Unhealthy for Sensitive
123,361,150,84,9.59,149,37.0,Very Unhealthy
21,196,42,16,3.54,55,22.3,Moderate
26,138,75,22,2.88,75,20.6,Moderate
241,373,150,100,8.55,137,24.8,Very Unhealthy
15,102,37,33,3.2,56,18.2,Moderate
30,185,68,53,5.97,100,26.4,Unhealthy for Sensitive
192,450,123,85,9.47,137,35.9,Very Unhealthy
162,381,141,100,9.94,135,32.4,Very Unhealthy
55,154,70,40,3.88,79,25.7,Unhealthy for Sensitive
148,402,150,97,9.31,145,40.4,Very Unhealthy
181,408,150,91,10.0,134,33.8,Very Unhealthy
53,213,87,46,6.96,64,29.8,Unhealthy for Sensitive
51,192,61,38,6.55,91,32.3,Unhealthy for Sensitive
28,92,80,28,3.49,31,17.8,Moderate
12,44,48,5,3.03,33,18.7,Moderate
7,146,44,31,2.8,80,31.7,Moderate
29,187,80,38,7.21,106,31.9,Unhealthy for Sensitive
22,112,8,32,2.42,56,22.7,Moderate
66,276,105,71,7.1,133,43.0,Unhealthy
77,277,106,83,6.73,117,26.5,Unhealthy
118,268,138,64,5.21,100,35.0,Unhealthy
300,412,135,94,9.64,136,32.4,Very Unhealthy
216,450,138,87,9.95,134,35.8,Very Unhealthy
20,91,39,28,1.29,49,24.2,Moderate
40,254,90,29,6.02,60,27.2,Unhealthy for Sensitive
126,302,123,84,8.54,102,26.9,Unhealthy
35,203,55,47,5.79,81,31.1,Unhealthy for Sensitive
124,298,113,81,7.28,93,33.6,Unhealthy
15,79,58,29,2.7,65,20.1,Moderate
47,233,70,55,4.81,78,24.8,Unhealthy for Sensitive
48,155,93,42,5.11,108,25.2,Unhealthy for Sensitive
34,192,79,42,4.82,91,26.9,Unhealthy for Sensitive
5,169,70,37,4.35,61,15.0,Moderate
17,129,28,23,2.8,51,27.5,Moderate
27,149,69,33,3.47,86,25.2,Unhealthy
17,48,41,35,1.44,42,17.0,Moderate
42,234,69,67,6.13,79,24.7,Unhealthy for Sensitive
32,185,75,60,6.94,82,22.8,Unhealthy for Sensitive
93,279,119,64,6.41,127,32.9,Unhealthy
78,274,126,88,8.83,76,23.1,Unhealthy
33,179,100,54,4.32,81,36.4,Unhealthy for Sensitive
227,428,134,97,9.07,149,23.5,Very Unhealthy
93,344,90,69,6.08,114,30.8,Unhealthy
103,261,131,80,9.68,118,33.4,Unhealthy
46,195,83,55,6.72,96,26.5,Unhealthy for Sensitive
49,223,72,49,7.35,94,31.6,Unhealthy for Sensitive
109,297,137,79,7.5,91,32.3,Unhealthy
173,332,140,99,9.05,114,30.1,Unhealthy
38,173,55,73,6.98,96,28.6,Unhealthy for Sensitive
10,124,61,20,1.26,75,33.7,Moderate
85,303,93,56,7.4,130,34.9,Unhealthy
13,63,34,28,2.85,82,28.2,Moderate
114,285,146,88,6.8,141,41.1,Unhealthy
133,354,144,80,8.91,140,38.4,Very Unhealthy
183,407,120,79,9.09,150,34.5,Very Unhealthy
187,349,133,94,9.1,140,31.2,Very Unhealthy
86,284,119,63,7.08,133,25.8,Unhealthy
132,265,88,61,5.89,111,29.6,Unhealthy
15,78,57,35,3.72,47,19.0,Moderate
23,76,57,31,4.06,69,25.7,Moderate
54,300,112,81,6.16,114,33.4,Unhealthy
20,182,57,37,3.43,57,22.0,Moderate
39,255,68,69,4.19,95,26.7,Unhealthy for Sensitive
16,131,64,23,3.52,67,21.1,Moderate
12,36,37,31,3.45,52,22.6,Moderate
39,215,73,62,6.98,67,25.9,Unhealthy for Sensitive
102,261,96,72,9.24,107,31.9,Unhealthy
248,337,148,95,9.54,129,31.0,Very Unhealthy
20,61,66,18,3.73,93,30.5,Moderate
105,311,95,98,8.58,93,30.4,Unhealthy
256,394,132,94,8.98,131,34.7,Very Unhealthy
55,125,73,37,5.94,104,29.2,Unhealthy for Sensitive
34,201,89,26,8.41,93,30.4,Unhealthy for Sensitive
43,207,77,38,4.4,108,32.3,Unhealthy for Sensitive
17,208,56,21,2.02,42,18.8,Moderate
75,306,130,100,7.18,102,20.2,Unhealthy
71,277,126,79,6.47,126,31.6,Unhealthy
52,309,115,71,8.36,126,36.1,Unhealthy
21,121,70,31,5.51,93,24.7,Moderate
43,196,100,60,4.12,94,23.9,Unhealthy for Sensitive
45,236,74,42,6.41,91,26.7,Unhealthy for Sensitive
11,170,64,38,3.97,59,21.4,Moderate
195,418,138,100,9.44,138,33.2,Very Unhealthy
33,204,82,48,3.03,111,29.4,Unhealthy for Sensitive
11,51,82,33,3.2,70,26.3,Moderate
43,150,67,43,7.03,125,31.4,Unhealthy for Sensitive
31,120,37,41,1.33,73,26.5,Moderate
99,303,115,62,8.79,94,23.3,Unhealthy
205,391,125,87,8.46,138,34.9,Very Unhealthy
18,116,24,28,2.16,70,29.2,Moderate
66,371,121,63,8.95,108,29.5,Unhealthy
14,49,21,30,2.88,46,31.3,Moderate
26,61,53,27,2.26,40,15.7,Moderate
58,128,46,84,3.57,106,25.3,Unhealthy for Sensitive
33,349,117,51,10.0,139,36.3,Unhealthy
121,260,99,71,7.13,118,33.9,Unhealthy
212,392,125,95,8.84,148,32.7,Very Unhealthy
31,128,22,30,2.25,76,24.4,Moderate
43,251,71,53,5.58,91,29.1,Unhealthy for Sensitive
300,428,130,100,9.92,150,36.6,Very Unhealthy
27,145,38,34,3.34,46,18.2,Moderate
123,292,89,75,4.99,96,32.1,Unhealthy
54,227,105,45,5.46,79,30.2,Unhealthy for Sensitive
39,189,96,71,5.6,91,28.8,Unhealthy for Sensitive
7,10,22,9,0.95,47,23.1,Good
144,323,130,84,8.2,107,26.8,Unhealthy
39,140,40,23,2.23,40,21.5,Moderate
120,318,118,93,7.91,143,34.5,Unhealthy
8,92,43,27,3.87,67,30.8,Moderate
289,450,131,94,9.64,137,30.0,Very Unhealthy
160,450,134,84,9.63,116,28.0,Very Unhealthy
53,331,123,60,8.89,107,21.8,Unhealthy
278,390,138,99,9.84,127,33.1,Very Unhealthy
34,211,91,47,5.49,104,29.8,Unhealthy for Sensitive
25,98,38,26,3.72,31,19.9,Moderate
24,95,56,22,3.39,69,28.5,Moderate
159,317,117,81,5.73,92,26.9,Unhealthy
183,450,129,82,9.67,133,32.3,Very Unhealthy
245,415,137,90,8.5,150,33.2,Very Unhealthy
223,341,130,100,10.0,147,37.8,Moderate
178,383,150,100,8.8,136,37.0,Very Unhealthy
37,152,97,47,6.45,82,29.3,Unhealthy for Sensitive
16,86,57,30,1.43,47,20.7,Moderate
177,350,112,80,7.46,146,32.3,Unhealthy
175,410,143,91,9.01,150,38.0,Very Unhealthy
295,375,134,95,9.35,147,35.8,Very Unhealthy
56,167,74,33,3.71,78,22.2,Unhealthy for Sensitive
56,200,37,46,5.99,77,30.2,Unhealthy for Sensitive
31,142,93,21,3.83,54,15.1,Moderate
43,154,102,49,5.38,80,20.5,Unhealthy for Sensitive
41,212,65,41,6.53,98,26.9,Unhealthy for Sensitive
216,416,134,94,9.78,142,37.1,Very Unhealthy
71,370,110,59,9.57,142,38.9,Unhealthy
81,234,136,79,6.6,130,34.9,Unhealthy
12,108,53,39,2.96,59,25.0,Moderate
259,450,145,93,8.21,132,30.1,Very Unhealthy
38,192,78,59,5.34,83,29.7,Moderate
40,185,93,61,6.09,92,27.1,Unhealthy for Sensitive
93,368,145,91,9.41,147,45.0,Unhealthy for Sensitive
131,315,121,78,7.78,111,32.9,Unhealthy
36,176,53,44,3.65,77,23.7,Unhealthy for Sensitive
67,304,122,66,7.42,116,33.9,Unhealthy
144,300,128,56,7.03,113,33.0,Unhealthy
75,308,102,93,9.15,116,30.1,Unhealthy
51,153,55,43,5.42,81,27.0,Unhealthy for Sensitive
87,331,135,100,8.39,147,38.3,Unhealthy
129,297,123,61,7.49,145,36.0,Unhealthy
42,271,97,82,3.97,100,35.9,Unhealthy for Sensitive
44,264,55,39,3.9,95,32.3,Unhealthy for Sensitive
19,96,38,27,2.44,76,22.7,Moderate
34,267,64,72,4.78,71,22.8,Unhealthy for Sensitive
34,207,80,52,6.55,80,33.9,Unhealthy for Sensitive
184,275,114,85,7.67,146,35.2,Unhealthy
52,171,52,34,4.42,51,15.0,Unhealthy for Sensitive
116,327,120,63,7.95,115,36.6,Unhealthy
97,208,104,65,8.92,123,40.4,Unhealthy
88,350,103,71,8.77,104,30.0,Unhealthy
185,408,117,96,9.8,141,35.2,Very Unhealthy
51,220,101,34,6.82,108,29.7,Unhealthy for Sensitive
46,162,98,43,5.67,83,25.4,Unhealthy for Sensitive
19,232,46,32,3.05,81,24.5,Moderate
291,364,150,100,10.0,150,26.5,Very Unhealthy
