Vehicle_Type,Fuel_Type,Emission_Standard,CO,HC,NOx,PM,O2,Lambda,Issue
Car,Diesel,BS4,0.62,318,0.14,0.013,0.42,1.11,Air Filter Clogged
Car,Diesel,BS4,0.55,483,0.2,0.014,0.76,1.12,EGR Valve Problem
Car,Petrol,BS4,0.62,479,0.16,0.015,0.3,0.85,Rich Fuel Mixture
Car,Petrol,BS6,0.82,580,0.14,0.013,0.35,0.87,Fuel Injector Issue
Car,Diesel,BS4,0.59,269,0.17,0.005,0.57,1.04,Air Filter Clogged
Car,Petrol,BS4,0.68,425,0.09,0.011,0.36,0.94,DPF Clogging
Car,Petrol,BS6,0.52,499,0.15,0.006,0.4,0.86,Fuel Injector Issue
Car,Diesel,BS4,0.31,157,0.02,0.001,0.35,1.01,Normal
Car,Diesel,BS6,0.35,199,0.02,0.003,0.35,1.05,Normal
Car,Petrol,BS6,0.6,333,0.15,0.018,0.42,0.84,Rich Fuel Mixture
Car,Diesel,BS4,0.6,458,0.09,0.006,0.75,0.98,EGR Valve Problem
Car,Diesel,BS4,0.48,422,0.1,0.005,0.74,1.19,Air Filter Clogged
Car,Petrol,BS4,0.74,478,0.14,0.005,0.38,0.8,Fuel Injector Issue
Car,Petrol,BS4,0.31,420,0.1,0.005,0.63,1.08,Engine Misfire
Car,Petrol,BS4,0.53,326,0.13,0.004,0.47,1.07,Air Filter Clogged
Car,Diesel,BS6,0.64,282,0.2,0.021,0.72,0.93,Turbocharger Issue
Car,Petrol,BS6,0.35,435,0.12,0.008,0.63,1.2,Engine Misfire
Car,Diesel,BS6,0.64,615,0.12,0.009,0.64,1.01,Spark Plug Issue
Car,Diesel,BS6,0.6,234,0.12,0.013,0.48,1.08,EGR Valve Problem
Car,Diesel,BS4,0.6,436,0.06,0.011,0.87,1.2,Engine Misfire
Car,Diesel,BS6,0.57,654,0.14,0.009,0.6,1.05,Engine Misfire
Car,Petrol,BS6,0.56,624,0.14,0.003,0.6,1.2,Engine Misfire
Car,Diesel,BS6,0.7,479,0.23,0.016,0.52,0.93,Turbocharger Issue
Car,Petrol,BS4,0.91,507,0.12,0.015,0.5,0.81,Fuel Injector Issue
Car,Petrol,BS6,0.44,350,0.09,0.011,0.61,1.04,Air Filter Clogged
Car,Diesel,BS4,0.86,451,0.14,0.015,0.42,0.82,Fuel Injector Issue
Car,Diesel,BS4,0.58,243,0.16,0.01,0.71,1.13,EGR Valve Problem
